연도,동해,남해,서해,
1968,15.9,17.9,14.4,
1969,15.8,18.0,14.3,
1970,16.3,18.0,13.9,
1971,15.6,18.5,14.0,
1972,15.8,18.7,15.2,
1973,16.3,18.3,15.1,
1974,15.2,18.3,14.5,
1975,16.9,19.1,14.6,
1976,16.7,17.7,14.4,
1977,15.7,17.6,14.3,
1978,17.0,18.9,15.4,
1979,17.4,19.2,15.4,
1980,16.0,17.9,13.9,
1981,15.0,18.3,14.2,
1982,17.2,18.9,15.3,
1983,16.5,19.1,15.2,
1984,16.0,17.8,14.6,
1985,16.8,18.3,14.7,
1986,15.9,18.2,14.5,
1987,16.3,18.4,14.3,
1988,17.2,18.9,14.7,
1989,17.4,18.0,14.4,
1990,18.0,19.2,14.6,
1991,16.5,18.2,15.0,
1992,16.9,18.3,14.8,
1993,15.7,18.2,14.4,
1994,17.0,18.8,15.2,
1995,16.3,19.1,15.2,
1996,16.0,19.3,15.4,
1997,17.0,19.3,15.3,
1998,17.6,19.5,15.7,
1999,17.4,18.7,15.3,
2000,16.8,19.0,15.1,
2001,18.0,19.2,15.5,
2002,16.6,18.9,15.4,
2003,17.0,18.9,14.6,
2004,17.5,19.5,15.8,
2005,16.8,19.5,15.3,
2006,16.5,19.3,15.6,
2007,17.5,19.4,16.0,
2008,17.7,19.4,15.6,
2009,16.9,19.6,16.3,
2010,16.9,18.8,15.5,
2011,16.8,18.4,14.1,
2012,16.9,18.6,15.5,
2013,17.4,18.6,15.3,
2014,17.3,18.6,15.2,
2015,16.7,18.6,15.5,
2016,18.2,19.6,15.9,
2017,17.6,19.3,14.7,
2018,16.5,18.8,15.5,
2019,18.4,19.4,15.1,
2020,17.8,19.2,15.3,
2021,18.6,19.3,16.1,
